MarketName,Website,street,city,County,State,zip,Location,Credit,WIC,WICcash,SFMNP,SNAP,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Seafood,Herbs,Vegetables,Honey,Jams,Maple,Meat,Nursery,Nuts,Plants,Poultry,Prepared,Soap,Trees,Wine,updateTime
Brunswick Farmers Market,http://www.townofbrunswick.org,18 Keyes Lane,Brunswick,Rensselaer,New York,12180,Local government building grounds,Y,N,Y,Y,N,Y,Y,Y,N,Y,N,N,Y,N,Y,N,Y,N,N,Y,N,Y,N,N,N,5/16/12 16:53
Olde School Farmers Market,,1259 Washington Street,Brushton,Franklin,New York,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2011
Clinton Bailey Farmers Market,,"1443 - 1517 Clinton St & Bailey Ave,",Buffalo,Erie,New York,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
Downtown Buffalo Country Market,http://www.buffaloplace.com,Main Street at Court and Church Street,Buffalo,Erie,New York,14203,Other,Y,Y,N,N,N,Y,Y,N,Y,Y,N,Y,Y,N,Y,N,Y,Y,N,N,Y,Y,Y,N,N,4/26/12 15:14
Elmwood Bidwell Farmers' Market,http://www.elmwoodmarket.org,Elmwood at Bidwell,Buffalo,Erie,New York,14222,Other,Y,Y,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,6/10/13 13:05
The Broadway Market,http://www.broadwaymarket.org,999 Broadway St.,Buffalo,Erie,New York,14212,Co-located with wholesale market facility,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,6/17/13 14:04
University Community Farmers Market,http://Www.ourheights.org/farmersmarket,Main Street at Kenmore Avenue,Buffalo,Erie,New York,14214,Educational institution,Y,N,N,N,N,Y,N,N,Y,N,N,Y,Y,N,Y,N,N,N,N,N,N,Y,N,N,N,6/11/13 15:17
Burnt Hills Farmers Market,,corner of lake hill rd and route 50,Burnt Hills,Saratoga,New York,12027,Other,Y,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,6/11/13 7:22
Callicoon Farmers Market,http://www.sullivancountyfarmersmarkets.org,A. Dorrer Drive,Callicoon,Sullivan,New York,12723,Other,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,6/12/13 10:51
Callicoon Indoor Winter Farmers' Market,http://www.sullivancountyfarmersmarkets.org,8 Creamery Road,Callicoon,Sullivan,New York,12723,Other,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,6/12/13 10:56
Cambridge Farmers Market,,Washington and main,Cambridge,Washington,New York,12816,Private business parking lot,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,5/17/12 10:18
Canajoharie Farmers Market,http://www.canajohariefarmersmarket.com,2 Erie Blvd,Canajoharie,Montgomery,New York,13317,Private business parking lot,Y,Y,N,Y,N,Y,N,N,N,Y,N,N,Y,N,Y,N,Y,N,N,N,Y,N,Y,N,N,6/13/13 9:39
Canandaigua Farmers Market,http://www.canandaiguafarmersmarket.com,Corner of Mill and Beaman Sts.,Canandaigua,Ontario,New York,14424,Local government building grounds,Y,Y,N,Y,N,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,4/27/12 9:56
Canandaigua VA Medical Center Farmers Market,,400 Fort Hill Ave,Canandaigua,Ontario,New York,14424,Federal/State government building grounds,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,Y,N,N,6/12/13 13:09
Lenox/Canastota Farmers Market,,Cor. of Main & Hickory St,Canastota,Madison,New York,13032,Private business parking lot,Y,N,N,Y,N,N,N,Y,Y,N,N,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,6/25/13 15:51
Canton Farmers Market,http://www.cantonfarmersmarket.org,Main & Court,Canton,St. Lawrence,New York,,Other,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,6/26/13 9:06
Cape Vincent Farmers & Crafters Market,,"Village Green, Broadway (Rt. 12)",Cape Vincent,Jefferson,New York,13618,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Apr 16 2010 9:55AM
Carthage Farm & Craft Farmers Market,http://www.carthage.ny.com,"Market Pavillion, Riverside Drive",Carthage,Jefferson,New York,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
Cazenovia Farmers Market,http://www.cazenoviachamber.com,"Memorial Park, Albany St",Cazenovia,Madison,New York,13035,Local government building grounds,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,6/12/13 7:38
Cazenovia Farmers Market,http://www.cazenoviachamber.com,26 Chenango St.,Cazenovia,Madison,New York,13035,Other,Y,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,6/12/13 7:43
Winter Farmers Market at Circa Restaurant,http://www.circarestaurant.net,76 Albany Street,Cazenovia,Madison,New York,13035,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2011
Chappaqua Farmers Market,http://www.chappaquafarmersmarket.org,Chappaqua Train Station,Chappaqua,Westchester,New York,10514,Local government building grounds,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,6/27/13 15:52
Chatham Farmers Market,,15 Church Street (Rte 203),Chatham,Columbia,New York,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
Chautauqua Institiution FM,,"Main gate building on Ft. 394, Chautauqua",Chautauqua,Chautauqua,New York,14722,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2/17/12 14:38
Sugar Loaf Farmers Market,,1389 Kings Highway,Chester,Orange,New York,10918,Private business parking lot,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,N,N,4/5/11 7:04
Chestertown Farmer's Market,http://www.chestertownfarmersmarket.com,6307 NYS Route 9,Chestertown,Warren,New York,12817,Local government building grounds,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,Y,Y,Y,Y,N,Y,6/17/13 12:31
Cincinnatus Farmers Market,,"Rural Services Pavilion, 2704 Lower Cincinnatus Rd",Cincinnatus,Cortland,New York,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
Downtown Batavia Public Market,http://www.downtownbataviany.com,Corner of Ellicott(Route 63) & Center Streets,City of Batavia,Genesee,New York,14020,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Apr 16 2010 10:06AM
Clarence Hollow Farmers' Market,http://www.clarencefarmersmarket.com,"New Town lot, 10717 Main St. (route 5)",Clarence,Erie,New York,14031,Private business parking lot,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,6/10/13 17:38
Clayton Farmers Market,,"Frink Park, Riverside Drive",Clayton,Jefferson,New York,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
Stone Mills Farmers Market,http://www.stonemills.org,"Old Stone Museum, NYS Rt 180, South of Lafargeville, West from I-81 Exit 49",Clayton,Jefferson,New York,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
Saratoga Farmers' Market,http://www.saratogafarmersmarket.org,912 Rte 146,Clifton Park,Saratoga,New York,12065,"Faith-based institution (e.g., church, mosque, synagogue, temple)",Y,N,N,N,N,Y,Y,N,Y,Y,N,N,Y,N,Y,N,Y,N,N,N,Y,N,N,N,N,5/7/12 12:08
Clifton Springs Farmer's Market,http://www.info@cliftonspringschamber.com,corner of Kendall Street and Railroad Avenue,Clifton Springs,Ontario,New York,14432,Local government building grounds,Y,N,N,N,N,Y,N,Y,Y,N,N,Y,Y,N,Y,Y,N,N,N,Y,N,N,N,N,N,5/9/11 15:30
Clinton Farmers Market,http://www.VillageofClinton.com,West Park Row,Clinton,Oneida,New York,13323,Other,Y,N,N,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,6/10/13 13:05
Westmoreland Winter Farmers Market,,Station Rd.,Clinton,Oneida,New York,13323,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2011
Clyde Farmers Market,,Village Park on South Park St.,Clyde,Wayne,New York,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
Schoharie County Festival Farmers Market,,942 E. Main St.,Cobleskill,Schoharie,New York,12043,Private business parking lot,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,N,N,N,Y,N,Y,N,N,6/1/12 20:02
Cohoes Farmers' Market,http://www.cohoesfarmersmarket.com,185 Remsen Street,Cohoes,Albany,New York,12047,Other,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,N,N,Y,N,Y,N,N,Y,N,N,4/26/12 15:16
Cold Springs Farmers Market,http://www.csfarmmarket.org,Route 9D - Butterfield Hospital Lot,Cold Spring,Putnam,New York,10516,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Jun 2 2010 5:34PM
Colden Community Farmers Market,http://www.localharvest.org/colden-community-farmers-market-M59229,8745 Supervisor Ave (at Heath Rd),Colden,,New York,14033,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Cooperstown Farmers' Market,http://www.otsego2000.org/cooperstown-farmers-market-and-agriculture/,"101 Main Street, PO Box 1130",Cooperstown,Otsego,New York,13326,Other,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,6/28/13 10:04
Copake Farmers Market,,Church St.,Copake,Columbia,New York,12516,Other,Y,Y,N,N,N,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,Y,N,6/16/13 17:23
Town of Babylon Farmers Market,,Great Neck Rd. & Oak St.,Copiague,Suffolk,New York,11726,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2011
Corning Farmers Market,,"Riverfront Centennial Park, Gaffer District",Corning,Steuben,New York,14830,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2/17/12 14:39
Cornwall Farmers Market,http://www.cornwallcoop.com/,"Cornwall Town Hall lot, 183 Main St.",Cornwall-on-Hudson,Orange,New York,12518,Local government building grounds,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,6/19/13 12:37
City of Cortland Farmers Market,,Main St. bet Orchard & Court Sts.,Cortland,Cortland,New York,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
Farmers' Market at the Hudson Valley Hospital Center,http://www.hvhc.org/patient-service/harvest-for-health,1980 Crompond Rd.,Cortlandt Manor,Westchester,New York,10567,Healthcare Institution,Y,N,N,N,N,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,6/14/13 9:50
Coxsackie Farmers' Market,,1 Betke Boulevard,Coxsackie,Greene,New York,12051,Local government building grounds,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,6/12/13 13:52
Katonah/Lewisboro Farmers Market,http://www.communitymarkets.biz,"John Jay High School, Rt 121, Cross River",Cross River,Westchester,New York,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
Croton-on-Hudson Farmers Market,http://www.downtoearthmarkets.com,Municipal Lot on Municipal Pl. and Riverside Ave.,Croton-on-Hudson,Westchester,New York,10520,Closed-off public street,Y,Y,Y,Y,N,Y,N,N,N,N,N,Y,Y,N,Y,N,N,N,N,N,N,Y,N,N,N,6/20/13 13:52
Dansville Farmers Market,,"Airport Hanger parking lot, 50 Maple Ave.",Dansville,Livingston,New York,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
Mount Morris Village Farmers Market,,30 E. State St.,Dansville,Livingston,New York,14437,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2011
"The Tanger Outlets at the Arches Farmers Market in Deer Park, NY",http://www.tangeroutlet.com/deerpark,152 The Arches Circle,Deer Park,Suffolk,New York,11729,Other,Y,N,Y,N,N,Y,Y,N,Y,Y,Y,N,Y,Y,Y,N,Y,N,N,N,N,Y,N,N,Y,5/31/12 16:34
Delhi Farmers Market,,"Court House Square, Main St,",Delhi,Delaware,New York,13753,Local government building grounds,Y,N,N,N,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,6/28/13 12:36
Delmar Farmers Market,http://www.delmarmarket.org,332 kenwood ave.,delmar,Albany,New York,12054,Educational institution,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,6/12/13 22:00
First United Methodist Church Farmers Market,,428 Kenwood Avenue,Delmar,Albany County,New York,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2011
Deposit Farmers' Market,http://www.ccedelaware.org,107 2nd Street,Deposit,Delaware,New York,13754,"Faith-based institution (e.g., church, mosque, synagogue, temple)",Y,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,4/26/12 8:55
Koo Koose Farmers Market,,"Town of Sanford Garage, 192 Front St,",Deposit,Broome,New York,13754,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Apr 16 2010 12:28PM
Dolgeville Farmer's Market,http://www.farmmarket.herkimerhealthnet.com/dolgeville.html,(Parking Lot) Between Main St. and Helmer Ave,Dolgeville,Herkimer,New York,13329,Local government building grounds,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,Y,Y,N,6/28/13 15:06
Dunkirk Farmers Market,,"Municipal Lot, Park Ave & E. 3rd St., Dunkirk",Dunkirk,Chautauqua,New York,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
Dunkirk's Farmer and Artisan Market,,"Memorial Park, Lake Shore Drive West",Dunkirk,Chautauqua,New York,14048,Local government building grounds,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,Y,6/26/13 11:33
Catskill Region Farmers Market,,Main Street and Church Street,Earlton,Greene,New York,12058,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2011
Earlville's Indoor Farmers Market,,Route 12B,Earlville,Madison,New York,13332,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2011
East Aurora Farmers Market,,Grey St,East Aurora,Erie,New York,14052,Other,Y,N,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,Y,N,6/11/13 10:16
East Hampton Farmers Market,,"Nick & Toni's parking lot, 136 North Main St",East Hampton,Suffolk,New York,11937,Private business parking lot,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,Y,Y,Y,N,N,Y,6/18/13 21:52
Elizabethtown Farmers' Market,http://www.adirondackfarmersmarket.com,behind Adirondack History Center Museum,Elizabethtown,Essex,New York,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,May 30 2010 4:00PM
Ellenville Farmers Market,,Center Street and Market Street,Ellenville,Ulster,New York,12428,Closed-off public street,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,5/18/12 14:23
Ellicottville Farmers Market by REAP,http://www.localharvest.org/edible-thursdays-farmers-market-M57141,Elizabeth Street,Ellicottville,,New York,14731,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
REAP Ellicottville Farmers Market,http://www.reapfarmersmarket.com,1 W. Washington Street,Ellicottville,Cattaraugus,New York,14731,Local government building grounds,Y,Y,N,Y,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,6/12/13 15:24
EastSide Market,http://www.counties.cce.cornell.edu/chemung,760 E. Water St.,Elmira,Chemung,New York,14901,Private business parking lot,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,Y,N,N,Y,N,N,6/17/13 11:32
Elmira Wisner Park Farmers Market,,N. Main St. & W. Church Street,Elmira,Chemung,New York,14901,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2011
Grove Park Farmers' Market,,"Corner of 4th & Walnut Street Grove Park, Schuyler Co.",Elmira,Schuyler County,New York,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2011
Wisner Farmers Market / Lunch in the Park,,"Wisner Park, N Main",Elmira,Chemung,New York,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
Elmont Farmers Market,http://www.ligreenmarket.org,700 Hempstead Turnpike,Elmont,Nassau,New York,11003,Educational institution,Y,Y,N,Y,Y,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,5/17/12 16:21
Elmsford Farmers Market,http://www.elmsfordny.org,Route 9A and N. Stone Ave.,Elmsford,Westchester,New York,10523,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2011
Fairport Farmers' Market,http://www.fairportny.com,parking lot behind Bank of America on South Main St.,Fairport,Monroe,New York,14450,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,6/17/13 11:35
Falconer Farmers' Market,,W. Main Street at Homestead,Falconer,Chautauqua,New York,14733,Local government building grounds,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,N,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,N,N,6/26/13 10:35
Joseph Adabbo Family Health Center Market,,,Far Rockaway,New York,New York,,Healthcare Institution,Y,N,Y,Y,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,7/1/13 12:26
Eat Local Long Island Farmers' Market,,In the driveway at the Clock Tower on Main Street,Farmingdale,,New York,11735,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,
Farmingville Farmers Market,http://WWW.FARMINGVILLERESIDENTS.ORG,755 HORSEBLOCK RD,FARMINGVILLE,Suffolk,New York,11738,Private business parking lot,Y,N,N,N,N,Y,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,5/30/12 13:17
Liberty Farmers Market,http://www.sullivancountyfarmersmarkets.org,100 Sullivan Avenue,Ferndale,Sullivan,New York,12734,Federal/State government building grounds,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,N,N,Y,Y,N,N,N,Y,Y,Y,N,Y,6/12/13 10:49
Village of Fishkill Farmers Market,http://www.vofishkill.gov,main street at cary avenue,fishkill,Dutchess,New York,12524,Private business parking lot,Y,N,N,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,N,N,N,N,Y,N,N,N,Y,N,6/10/13 14:40
Flanders Farm Fresh Food Market,http://www.southamptontownny.gov/FarmFresh,655 Flanders Road,Flanders,Suffolk,New York,11901,Local government building grounds,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,6/4/12 11:10
Florida Farmers Market,http://www.warwickinfo.net/floridafarmersmarket,North Main Street,Florida,Orange,New York,10921,Private business parking lot,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,Y,5/18/12 12:52
Pomonok Community Run Farmers' Market,http://www.qchnyc.org,67-09 Kissena Blvd,Flushing,Queens,New York,11367,Other,Y,Y,Y,Y,Y,N,N,N,N,Y,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,6/11/13 15:00
Queens Botanical Garden Farmers Market,http://www.downtoearthmarkets.com,Dahlia Avenue off Main Street,Flushing,Queens,New York,11355,Other,Y,Y,N,Y,Y,N,N,N,N,N,N,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,6/13/13 13:56
Fonda Farmers Market,http://www.fondafarmersmarket.com,Bridge Street and Park,Fonda,Montgomery,New York,12068,Private business parking lot,Y,N,Y,N,N,Y,Y,N,Y,Y,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,6/5/12 7:04
Fonda Farmers Market,http://www.fondafarmersmarket.com,Main Street,fonda,Montgomery,New York,12068,Private business parking lot,Y,N,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,6/5/12 7:04
Fort Plain Farmers Market,,12 Willett St.,Fort Plain,Montgomery,New York,13339,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,6/24/13 16:14
Fowler,,1461 CR 222,Fowler,St. Lawrence,New York,,Private business parking lot,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,6/27/13 15:17
Franklin Farmers' Market,,Institute Street,Franklin,Delaware,New York,13775,Other,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,5/17/12 9:49
Franklinville Farmers Market,,13 Park Square,Franklinville,Cattaraugus,New York,14737,Local government building grounds,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,Y,N,N,N,N,N,6/12/13 11:33
Village of Fredonia Farmers Market,http://www.village.fredonia.ny.us/,9-11 Church Street,Fredonia,Chautauqua,New York,14063,Local government building grounds,Y,Y,Y,Y,N,Y,N,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,4/19/11 12:55
Freeport Community Farmers' Market,,130 East Merrick Road,Freeport,Nassau,New York,11520,Local government building grounds,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,6/13/13 8:49
Fulton Farmers Market,,Canalview Park & Shop Parking Lot,Fulton,Oswego,New York,13069,Other,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,4/26/12 14:26
Volney Farmers Market,,1445 County Route 6,Fulton,Oswego,New York,13069,Local government building grounds,Y,N,Y,Y,N,Y,N,N,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,Y,N,N,N,6/17/13 10:31
Gansevoort Farmers Market,,"Broadway Bowl, Rt 4, Across from McDonalds",Gansevoort,Washington,New York,12831,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2/17/12 14:41
Garden City Farmers Market,,"101 County Seat Dr, off Old Country Rd, behind Supreme Court Bldg",Garden City,Nassau,New York,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
Gardiner Green Market,,133 Farmers Tpke.,Gardiner,Ulster,New York,12561,Other,Y,N,N,N,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,Y,N,N,6/12/13 9:03
Geneseo Farmers' Market,http://www.geneseofarmersmarket.org,Main Street and Center Street,Geneseo,Livingston,New York,14454,Closed-off public street,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,6/11/13 21:55
Geneva Farmers Market,http://www.geneva.ny.usRecfarmersmarket,Exchange St. Municipal Parking Lot,Geneva,Ontario,New York,14456,Other,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,6/1/12 11:17
Red Jacket Orchards,http://www.redjacketorchards.com,957 Route 5 & 20,Geneva,Seneca,New York,14456,Private business parking lot,Y,Y,Y,N,N,Y,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,N,N,6/25/13 15:19
Town of Geneva Farmers Market,http://www.townofgeneva.com,3750 County Road 6,Geneva,Ontario,New York,14456,Local government building grounds,Y,N,N,N,N,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,N,N,N,Y,N,N,Y,Y,N,6/12/13 12:30
The Olde Ghent Farmers Market,http://www.ghentfarmersmarket.com,2149 Route 66,Ghent,Columbia,New York,12075,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2011
Lumberland Community Market,http://www.localharvest.org/lumberland-community-market-M59709,Lumberland Town Hall 1054 Proctor Rd.,Glen Spey,,New York,12737,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,
Glenmont/ Mt Moriah Church Farmer's Market,,"Mt. Moriah Church, across from Lowes 262 Route 9W, Glenmont",Glenmont,Albany County,New York,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2011
Glens Falls Farmers Market Association,http://www.glensfallsfarmersmarket.com,South Street,Glens Falls,Warren,New York,12801,Other,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,6/4/12 10:23
Glens Falls Farmers Market Association,,Maple St,Glens Falls,Warren,New York,12801,Local government building grounds,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,N,Y,N,Y,N,N,N,Y,Y,N,N,N,6/4/12 10:23
Gloversville Farmers Market,,Elm Street Pavilion,Gloversville,Fulton,New York,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Apr 27 2010 6:00PM
Goshen Farmers Market,http://www.goshennychamber.com,33 Park Place,Goshen,Orange,New York,10924,Local government building grounds,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,N,Y,N,Y,6/5/12 17:49
