MarketName,Website,street,city,County,State,zip,Location,Credit,WIC,WICcash,SFMNP,SNAP,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Seafood,Herbs,Vegetables,Honey,Jams,Maple,Meat,Nursery,Nuts,Plants,Poultry,Prepared,Soap,Trees,Wine
West Asheville Tailgate Market,,757 Haywood Road,West Asheville,Buncombe,North Carolina,28806,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Wendell Farmers Market,http://www.wendellchambercommerce.com,,Wendell,Wake,North Carolina,,Private business parking lot,Y,N,N,N,N,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,N,N,Y,Y,N,Y,Y,N,N
Weaverville Tailgate Market,http://www.weavervilletailgate.org/,60 Lakeshore Drive,Weaverville,Buncombe,North Carolina,28787,,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,N
Haywood's Historic Farmers Market,http://www.waynesvillefarmersmarket.com,250 Pigeon Street,Waynesville,Haywood,North Carolina,28786,Private business parking lot,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,N
Waynesville Tailgate Market,,171 Legion Dr.,Waynesville,Haywood,North Carolina,28786,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Waxhaw Farmers Market,,Hwy 16 Providence Road,Waxhaw,Union,North Carolina,28173,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Saturday Market,http://www.whda.org,Stewart Parkway,Washington,Beaufort,North Carolina,27889,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Warren County Farmers Market,http://www.warrengrowers.com,Corner of Macon St. and Bragg St.,Warrenton,Warren,North Carolina,27589,Private business parking lot,Y,N,N,N,N,Y,N,Y,Y,N,Y,N,Y,Y,Y,N,N,Y,N,Y,N,N,N,N,N
Stokes Farmers Market - Walnut Cove location,,419 N Main Street,Walnut Cove,Stokes,North Carolina,27052,Private business parking lot,Y,Y,N,Y,N,N,N,N,Y,N,N,Y,Y,N,Y,N,N,N,N,Y,N,N,Y,Y,N
Wake Forest Farmers Market,http://www.wakeforestfarmersmarket.org,150 N. White St.,Wake Forest,Wake,North Carolina,27587,Private business parking lot,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,Y,Y,Y,Y,N
Anson County Farmers Market,,1736 Hwy 52 South,Wadesboro,Anson,North Carolina,28170,Local government building grounds,Y,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N
Uptown Wadesboro Farmers Market,http://www.uptownwadesboro.com,101 South Greene Street,Wadesboro,Anson,North Carolina,28170,Local government building grounds,Y,N,N,N,N,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,N,N
Valle Crucis Farmers Market at Mast General,,Behind the Mast General Store,Valle Crucis,Watauga,North Carolina,28691,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Burke County Farmer's Market II,,Faett Street,Valdese,Burke,North Carolina,28690,Local government building grounds,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N
Columbus Farmers' Market,http://www.polkcountyfarms.org,100 Depot Street,Tryon,Polk,North Carolina,,Local government building grounds,Y,N,N,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,N,N,Y,N,Y,Y,N,N
Tryon Tailgate Market,http://www.polkcountyfarms.org,,Tryon,Polk,North Carolina,28722,Closed-off public street,Y,N,N,N,Y,Y,N,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N,Y,N,N,Y,N,N
Montgomery County Farmers' Market Association,http://www.mcfma.org,417 North Main Street,Troy,Montgomery,North Carolina,27371,Other,Y,N,N,N,N,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,Y,Y,Y
Troutman Depot Farmer's Market,http://www.townoftroutman.org/,137 South Main Street,Troutman,,North Carolina,28166,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N
Thomasville Farmers Market,,21 East Guilford Street,Thomasville,Davidson,North Carolina,27360,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Tarboro-Edgecombe Farmers Market,http://www.edgecombe.ces.ncsu.edu/content/FarmersMarket,507 Albemarle Avenue,Tarboro,Edgecombe,North Carolina,27886,Local government building grounds,Y,Y,N,N,N,Y,N,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,Y,N,Y,Y,N,N
Jackson County Farmers Market,http://www.jacksoncountyfarmersmarket.org,Railroad Ave.,Sylva,Jackson,North Carolina,28779,Local government building grounds,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,N
Jackson County Farmers Market - Winter,http://www.jacksoncountyfarmersmarket.org,Central Street,Sylva,Jackson,North Carolina,28779,Other,Y,N,N,N,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y,N,Y,N,N,N,Y,Y,Y,N,N
"Statesville Market and Exchange, Inc.",http://www.statesvillemarket.com/fresh_seafood_north_carolina_Statesville_Market.html,646 Baily Farm Road,Statesville,,North Carolina,28625,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N
Stateville Rotary Farmers Market,,East Sharpe Street,Statesville,Iredell,North Carolina,28677,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
The Evening Farmers Market,http://www.theeveningfarmersmarket.com,"Pecan Park, Center and Water Streets",Statesville,Iredell,North Carolina,28677,Other,Y,N,N,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N,Y,Y,N,Y,Y,N
Spruce Pine Farmers Market,,Upper Street,Spruce Pine,Mitchell,North Carolina,28777,Private business parking lot,Y,N,N,N,N,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,N
Rutherford County Farmers Market,http://www.rutherfordcountync.gov/farmersmarket,1630 Hwy. 74A By-Pass,Spindale,Rutherford,North Carolina,28160,Local government building grounds,Y,Y,N,Y,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,N,N,Y,Y,N
Alleghany Farmers Market,http://www.alleghanyfarmersmarket.com,HWY 18 N,Sparta,Alleghany,North Carolina,28675,Local government building grounds,Y,N,N,N,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,Y,N,N
Southport Waterfront Market,http://www.downtownsouthport.org,111 S. Davis Street,Southport,Brunswick,North Carolina,28461,Local government building grounds,Y,N,N,N,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,N,N,Y,N,Y
Elaney Wood Heritage Farmers Market,http://www.greene.ces.ncsu.edu,470 Hwy.13 South,Snow Hill,Greene,North Carolina,28580,Local government building grounds,Y,N,N,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,N,Y,Y,Y,N
Johnston County Produce Market,,"1410 S. Brightleaf Blvd., (Hwy 301)",Smithfield,Johnston,North Carolina,27577,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Smithfield Farmers Market,http://www.smithfield-nc.com/farmersmarket,350 E. Market Street,Smithfield,Johnston,North Carolina,27577,Local government building grounds,Y,N,N,N,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,N,N,N
"Foothills Farmers' Market, Inc.",http://www.foothillsfarmersmarket.com,111 S. Washington Street,Shelby,Cleveland,North Carolina,28150,Closed-off public street,Y,N,N,N,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,N,N,Y,Y,Y,Y,Y,Y
"Foothills Farmers' Market, Inc.",http://www.foothillsfarmersmarket.com,315 E. Grover Street,Shelby,Cleveland,North Carolina,28150,Local government building grounds,Y,N,N,N,Y,Y,Y,N,N,Y,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N
Sawmills Farmer's Market Association Inc,http://www.townofsawmills.com/55-sawmills-farmers-market/#950,,Sawmills,Caldwell,North Carolina,,Local government building grounds,Y,Y,Y,N,Y,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,N,N,N,N,N,Y,Y,N,N
Columbus Farmers' Market,http://www.polkcountyfarms.org,100 Irving Street,Saluda,Polk,North Carolina,,Local government building grounds,Y,N,N,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,N,N,Y,N,Y,Y,N,N
Salisbury-Rowan County Farmers Market,http://www.salisburyfarmersmarket.com,Corner of South Jackson and West Fisher Streets,Salisbury,Rowan,North Carolina,28144,Private business parking lot,Y,Y,N,N,N,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,Y,N,N,Y,Y,Y,Y,N,N
Rutherfordton Farmers Market,,146 North Main St,Rutherfordton,Rutherford,North Carolina,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
North Star Farmers Market,,Located at Ruffin-Mayfield exit to Mayfield to Service Road,Ruffin,Rockingham,North Carolina,27326,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Person County Farmers Market,http://www.personcountyfarmersmarket.com,601 N. Madison Blvd.,Roxboro,Person,North Carolina,27573,Private business parking lot,Y,N,N,N,N,Y,Y,N,N,N,Y,N,Y,Y,N,N,Y,N,N,Y,N,N,N,N,N
Rocky Mount Farmers Market,http://www.farmersmarketrockymount.com,1006 Peachtree St.,Rocky Mount,Nash,North Carolina,27804,Local government building grounds,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,Y,Y,N
Richmond County Farmers Market,,100 Biltmore Drive,Rockingham,Richmond,North Carolina,28379,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Graham County Farmer's Market,http://www.smnpa.org,Main Street,Robbinsville,Graham,North Carolina,28771,Other,Y,N,N,N,N,Y,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N
Roanoke Valley Farmers Market,,378 Highway 158 W. Roanoke Rapids,Roanoke Rapids,Halifax,North Carolina,27870,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Riceville Tailgate Market,,Riceville Community Center Parking Lot,Riceville,Buncombe,North Carolina,28805,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Market Square,http://www.ci.reidsville.nc.us,303 S. Scales St.,Reidsville,Rockingham,North Carolina,27320,Local government building grounds,Y,N,N,N,N,Y,N,Y,N,Y,N,N,Y,N,N,N,Y,N,N,N,Y,N,Y,Y,N
Rockingham County Farmers Market,,1944 Wentworth Street,Reidsville,Rockingham,North Carolina,27320,Federal/State government building grounds,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,N,Y,Y,Y,N
Inter-Faith Food Shuttle Young Farmer Market,http://www.foodshuttle.org/,Dover Farm Rd & Tryon Rd,Raleigh,,North Carolina,27606,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N
Midtown Farmers' Market,http://www.midtownfarmers.com,4160 Main at North HIlls,Raleigh,Wake,North Carolina,27609,Other,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,N
Moore Square Farmers Market,http://www.raleigheatlocal.com,500 Block Fayetteville St.,Raleigh,Wake,North Carolina,27601,Closed-off public street,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,N
North Raleigh Farmers' Market,http://www.northraleighfarmersmarket.com,1145 Falls River Avenue,Raleigh,Wake,North Carolina,27614,Private business parking lot,Y,N,N,N,N,Y,N,Y,Y,Y,N,Y,Y,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,N
Raleigh Downtown Farmers Market,http://www.RaleighEatLocal.com,"400 block of Fayetteville Street, City Plaza",Raleigh,Wake,North Carolina,27601,Closed-off public street,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N
Raleigh State Farmers Market,http://www. statefarmersmarket.org,1201 Agriculture Street,Raleigh,Wake,North Carolina,27603,Co-located with wholesale market facility,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y
Hoke County Farmers Market,,240 N. Main Street,Raeford,,North Carolina,28376,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N
Washington County Farmers Market,,Highway 64,Plymouth,Washington,North Carolina,27962,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Chatham Mills Farmers' Market,http://www.chathammillsfarmersmarket.com,480 Hillsboro St,Pittsboro,Chatham,North Carolina,27312,Private business parking lot,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Fearington Farmers Market,http://www.ces.ncsu.edu/chatham/ag/SustAg/markets/geninfo.html,Route 1 box 323 J,Pittsboro,Chatham,North Carolina,27312,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Pittsboro Farmers Market,http://www.ces.ncsu.edu/chatham/ag/SustAg/markets/geninfo,Chatham County Fairgrounds,Pittsboro,Chatham,North Carolina,27312,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Moore County Farmers Market,,"170 Memorial Drive, Pinehurst; Morganton Road, Southern Pines",Pinehurst,Moore County,North Carolina,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Sandhills Farmers Green Market,http://www.sandhillsfarmersmarket.com,1 Village Green Rd West,Pinehurst,Moore,North Carolina,28374,Other,Y,N,N,N,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,Y,Y,N
Sandhills Farmers Green Market,http://www.sandhillsfarmersmarket.com,Rattlesnake Trail/Woods Rd,Pinehurst,Moore,North Carolina,28374,Other,Y,N,N,N,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,Y,Y,N
UNCP Farmers Market,,"West Office Building, Distance Education parking lot",Pembroke,Robeson,North Carolina,28372,Educational institution,Y,N,N,N,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,N
Granville Corners Fruit & Vegetable Growers Association,,105 Tupelo Circle,Oxford,Granville,North Carolina,27565,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Oxford Farmers Market,,Corner of Lanier and McClanahan Streets,Oxford,Granville,North Carolina,27565,Other,Y,N,N,N,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,N,N,N,Y,N
Oriental Farmers' Market,http://www.orientalfarmersmarket.com,300 Block of Hodges Street,Oriental,Pamlico,North Carolina,28571,Private business parking lot,Y,N,N,N,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,N,Y,Y,Y,N
Wilkes County Farmers Market,,200 Chestnut Street,North Wilkesboro,Wilkes,North Carolina,28659,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Catawba County Farmers Market,http://www.ces.ncsu.edu/copubs/ag/fnv/002,Highway 70-321,Newton,Catawba,North Carolina,28658,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Avery County Farmers Market,,Newland Elementary School Parking Lot Highway 18,Newland,Avery County,North Carolina,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
New Bern/Craven County Area Farmers Market,http://www.newbernfarmersmarket.org,421 S. Front Street,New Bern,Craven,North Carolina,28560,,Y,N,N,N,N,Y,N,Y,Y,Y,N,N,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,Y
OBX Farmer's Market,,5000 S Croatan Highway,Nags Head,,North Carolina,27959,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N
Cedar Valley Farmers Market,,Downtown Murphy on the square,Murphy,Cherokee,North Carolina,28906,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Mount Airy Farmers' Market,,218 Rockford Stree,Mt. Airy,Surry,North Carolina,27030,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Mt. Airy Main Street Farmers Market,http://www.mountairymainstreet.org/,Park Ave. between Cross St. & Veterans Land,Mt. Airy,,North Carolina,27030,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N
Mount Holly Farmers Market,http://www.mounthollyfarmersmarket.com,215 South Main Street,Mount Holly,Gaston,North Carolina,28120,Healthcare Institution,Y,N,N,N,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,N
Morganton Farmer's Market,http://www.downtownmorganton.com/index.php/farmers-markets,111 North Green Street,Morganton,Burke,North Carolina,28655,Local government building grounds,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,Y,N,Y,Y,Y,Y,Y,N
Morganton Farmer's Market,http://www.downtownmorganton.com/index.php/farmers-markets,300 Beach St.,Morganton,Burke,North Carolina,28680,Private business parking lot,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,Y,N,Y,Y,Y,Y,Y,N
Morehead City Curb Market,,13th Street and Evans Street,Morehead City,Carteret,North Carolina,28557,Local government building grounds,Y,N,N,N,N,Y,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N
Meeting Street Farmers Market at Morriosn Plantation,http://www.meetingstreetmarket.com/Welcome.html,115 Plantation Ridge Dr.,Mooresville,,North Carolina,28117,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N
Mooresville Rotary Club Farmers Market,,Located at First Baptist Church parking lot,Mooresville,Iredell,North Carolina,28115,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Union County Farmers Market,,805 Skyway Drive,Monroe,Union,North Carolina,28112,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Farmington Farmers Market,http://www.farmingtoncc.org,1723 Farmington Rd,Mocksville,Davie,North Carolina,27028,Other,Y,N,N,N,N,Y,N,N,Y,Y,N,N,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,N
Mint Hill Farmers Market,http://www.minthillhistory.com/market.htm,7601 Matthews Mint Hill Road,Mint Hill,Mecklenburg,North Carolina,28227,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Mills River Farmers' Market,,Highway 280 G& B Energy Center,MIlls River,Henderson,North Carolina,28759,Private business parking lot,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,Y,Y,Y,Y,N
City of Mebane Parks & Recreation Farmers Markeet,,Clay Street,Mebane,Alamance,North Carolina,27302,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Matthews Community Farmers Market,http://www.matthewsfarmersmarket.com,N. Trade Street,Matthews,Mecklenburg,North Carolina,28105,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Market on South Main,,133 S. Main,Marshall,Madison,North Carolina,28753,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Sundays on the Island,,Blanahasset Island,Marshall,Madison,North Carolina,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Madison County Farmers & Artisans Market,http://www.marshillmarket.org,Hwy 213,Mars Hill,Madison,North Carolina,28754,Educational institution,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,N
Historic Marion Tailgate Market,,69 West Henderson Street,Marion,McDowell,North Carolina,28752,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Maggie Valley Farmers Tailgate Market,,2701 Soco Road,Maggie Valley,Haywood,North Carolina,28751,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Robeson County Farmers Market,,8th and Elm Streets,Lumberton,Robeson,North Carolina,28358,Local government building grounds,Y,N,Y,Y,N,N,N,N,Y,Y,N,Y,Y,Y,N,N,N,N,N,N,Y,N,N,N,N
Southeastern North Carolina Farmers Market,http://www.ncdamarkets.org,"Exit 14 Off I-95, 1 mile east on US Highway 74",Lumberton,Robeson,North Carolina,28358,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Lowell Farmers' Market,http://www.lowellnc.com/LowellFarmersMarket.htm,200 E. Second Street,Lowell,Gaston,North Carolina,28098,Closed-off public street,Y,N,N,N,N,Y,N,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,N
Franklin County Farmers Market,,Shannon Village Shopping Center,Louisburg,Franklin,North Carolina,27549,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Lincoln County Farmers Market @ DSS,http://www.lincolncountyfarmersmarket.com,1136 East Main Street,Lincolnton,Lincoln,North Carolina,28092,Local government building grounds,Y,N,N,N,Y,N,N,N,N,Y,N,N,Y,Y,Y,N,N,N,N,Y,N,N,N,N,N
Lincoln County Farmers Market in Downtown Lincolnton,http://www.lincolncountyfarmersmarket.com,225 West Water Street,Lincolnton,Lincoln,North Carolina,28092,Local government building grounds,Y,N,N,N,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,N,N,Y,N,N
LILLINGTON FARMERS MARKET,,401 North Lillington at Health Dept.,LILLINGTON,Harnett County,North Carolina,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Farmers Cooperative Livestock & Flea Market,,Old Hwy 64 exit out of Lexington,Lexington,Davidson,North Carolina,27292,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Lexington Farmers Market,http://www.LexingtonNCFarmersMarket.com,Railroad Street,Lexington,Davidson,North Carolina,27292,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Caldwell County Farmers Market,,5936 Rock Falls Road,Lenoir,Caldwell,North Carolina,28645,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Lenoir Bluegrass Farmers Market,http://www.thebluegrassmarket.com,112 Church Street,Lenoir,Caldwell,North Carolina,28645,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Downtown Farmers Market II,,Corner of Church & Main St.,Laurinburg,Rutherford,North Carolina,28353,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
